chunk_id,tree_node_id,global_problem_id,node_role,node_type,chunk_text,chunk_word_count
chunk::topic_codeforces_implementation_constructive::0,topic::codeforces::implementation_constructive,,TOPIC,TOPIC,implementation constructive,2
chunk::problem_codeforces_2219_A::0,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"Grid L A. Grid L time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output Roger has $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, each formed by joining two unit-length segments at a right angle. He wants to use all of these pieces, with no piece left unused, to form a grid of dimensions $$$n \times m$$$. Given $$$p$$$ and $$$q$$$, determine whether there exist positive integers $$$n$$$ and $$$m$$$ such that an $$$n \times m$$$ grid can be formed using exactly",90
chunk::problem_codeforces_2219_A::72,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"exist positive integers $$$n$$$ and $$$m$$$ such that an $$$n \times m$$$ grid can be formed using exactly $$$p$$$ unit-length segments and $$$q$$$ L-shaped pieces, possibly rotating them, and provide any valid $$$n$$$ and $$$m$$$. Hint1: We want an easy to check condition on $$$m$$$, $$$n$$$, $$$p$$$, $$$q$$$ that is equivalent to being able to fill the grid. Hint2 (strong spoiler): You can fill the $$$m\times n$$$ grid if and only if $$$p+2q = m(n+1)+n(m+1)$$$ and $$$p\ge \vert m-n\vert$$$. (See tutorial for proof) Hint3: $$$p+2q = m(n+1) + n(m+1)$$$ is",90
chunk::problem_codeforces_2219_A::144,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"$$$p+2q = m(n+1)+n(m+1)$$$ and $$$p\ge \vert m-n\vert$$$. (See tutorial for proof) Hint3: $$$p+2q = m(n+1) + n(m+1)$$$ is quadratic on $$$m$$$ and $$$n$$$. If you assume $$$m\ge n$$$, can you say anything on the size of $$$n$$$? Solution: The following is the key observation of the problem. Claim. We can fill an $$$m\times n$$$ grid using $$$p$$$ segments and $$$q$$$ L's if and only if $$$p+2q = m(n+1)+n(m+1)$$$ and $$$p \ge \vert m-n\vert$$$. Proof. Necessity is clear: $$$p+2q = m(n+1)+n(m+1)$$$ follows from looking at the total number of edges, and",90
chunk::problem_codeforces_2219_A::216,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"m-n\vert$$$. Proof. Necessity is clear: $$$p+2q = m(n+1)+n(m+1)$$$ follows from looking at the total number of edges, and $$$p\ge \vert m-n\vert$$$ follows from comparing the number of horizontal edges and vertical edges. Let us prove sufficiency. Note that two segments can form an L, so since $$$$$$m-n\equiv m+n\equiv 2mn+m+n\equiv 2q+p\equiv p\pmod 2,$$$$$$ we may assume WLOG that $$$p=m-n$$$. Now we can just use the following explicit construction. To not bore you all with a written description, we show the construction for $$$m=4$$$, $$$n=6$$$, which clearly generalizes. So we just need",90
chunk::problem_codeforces_2219_A::288,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"with a written description, we show the construction for $$$m=4$$$, $$$n=6$$$, which clearly generalizes. So we just need to find a pair $$$(m,n)$$$ satisfying the above conditions. We do so in $$$O(\sqrt{p+2q})$$$. Assume that $$$m\ge n$$$. Then we have that $$$ p+2q = m(n+1)+n(m+1) \ge 2n(n+1) \implies n \le \sqrt{p/2+q}. $$$ So we can iterate $$$n$$$ from $$$1$$$ to $$$\left\lfloor\sqrt{p/2+q}\right\rfloor$$$ and, for each $$$n$$$, check if $$$ m = \frac{p+2q-n}{2n+1} $$$ is a positive integer such that $$$\vert m-n\vert \le p$$$. If it is, we print $$$m$$$ and $$$n$$$. If",90
chunk::problem_codeforces_2219_A::360,problem::codeforces_2219_A,codeforces_2219_A,PROBLEM,PROBLEM,"a positive integer such that $$$\vert m-n\vert \le p$$$. If it is, we print $$$m$$$ and $$$n$$$. If no $$$n$$$ works, then we print $$$-1$$$. Extra. Can you solve the problem faster?",32
chunk::problem_codeforces_2219_B1::0,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"Unique Values (Easy version) B1. Unique Values (Easy version) time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output The difference between the easy version and hard version is the maximum number of queries allowed. In this version, it is 66. There is a secret array $$$a$$$ of length $$$2n+1$$$, whose elements are integers from $$$1$$$ to $$$n$$$. Each value appears exactly twice, except for one value, which appears exactly three times. Your goal is to find the three positions of the",90
chunk::problem_codeforces_2219_B1::72,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"for one value, which appears exactly three times. Your goal is to find the three positions of the value that appears three times. To do this, you may ask the following query at most 66 times: Choose an integer $$$k$$$ and an array $$$s$$$ of $$$k$$$ distinct indices between $$$1$$$ and $$$2n+1$$$. You will receive the number of different values among $$$a_{s_1}, a_{s_2}, \ldots, a_{s_k}$$$ that appear exactly once, or, in other words, the count of values that are not repeated. For example, if the values $$$a_{s_1}, \ldots, a_{s_k}$$$ are",90
chunk::problem_codeforces_2219_B1::144,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"words, the count of values that are not repeated. For example, if the values $$$a_{s_1}, \ldots, a_{s_k}$$$ are $$$\{2, 1, 2, 3, 2, 3, 6, 7\}$$$, the answer to the query will be 3, as 1, 6, 7 are the only values that appear exactly once. 3 appears 2 times and 2 appears 3 times, which is more than once, so they are not counted. Solution: There are many solutions that use $$$6 \cdot \log_2(2 \cdot n + 1)$$$ queries. Here is one: Notice that if we query for the",90
chunk::problem_codeforces_2219_B1::216,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"$$$6 \cdot \log_2(2 \cdot n + 1)$$$ queries. Here is one: Notice that if we query for the set $$$S$$$ and its complement $$$T$$$ (i.e. $$$T = \{1, 2, \ldots, 2 \cdot n + 1\} \setminus S$$$) we can know how many of the three special indices are in $$$S$$$ and how many in $$$T$$$. If the answer for both queries is the same, we know that $$$S$$$ has either 0 or 3 of the special indices, and looking at the parity of $$$|S| - query(S)$$$ (This is the number",90
chunk::problem_codeforces_2219_B1::288,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"3 of the special indices, and looking at the parity of $$$|S| - query(S)$$$ (This is the number of repeated elements), $$$S$$$ will have 3 of the special indices if this count is odd. If the answer for the two queries is different, we know that $$$S$$$ will have exactly one of the special indices iff $$$query(S) \gt query(T)$$$ since it has one more unique value. With this in mind, we can run 3 binary searches. The first one looks for any index that is special, the following ones do",90
chunk::problem_codeforces_2219_B1::360,problem::codeforces_2219_B1,codeforces_2219_B1,PROBLEM,PROBLEM,"run 3 binary searches. The first one looks for any index that is special, the following ones do the same but ignore indices that were found previously.",27
chunk::problem_codeforces_2219_C::0,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,Coloring a Red Black Tree C. Coloring a Red Black Tree time limit per test 2 seconds memory limit per test 256 megabytes input standard input output standard output You are given a tree of $$$n$$$ nodes numbered from 1 to $$$n$$$ and a binary string $$$s$$$ of length $$$n$$$ where $$$s_i = 1$$$ means that the $$$i$$$-th node is colored red and $$$s_i = 0$$$ means that the $$$i$$$-th node is colored black. You are allowed to perform the following operation: Select a node $$$a$$$ ($$$1 \le a \le,90
chunk::problem_codeforces_2219_C::72,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,"colored black. You are allowed to perform the following operation: Select a node $$$a$$$ ($$$1 \le a \le n$$$). A neighbor $$$b$$$ of $$$a$$$ is selected uniformly at random. Recolor node $$$a$$$ with the color of $$$b$$$. Note that this changes the color of the vertex you selected, not the one that was uniformly chosen. You want to color all the nodes in the tree red by performing the operation any number of times (possibly zero). Please compute the minimum expected number of operations needed to do so if you",90
chunk::problem_codeforces_2219_C::144,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,"of times (possibly zero). Please compute the minimum expected number of operations needed to do so if you perform them optimally. There will be at least one red node initially. Hint1: Think of some kind of subtree DP. Solution: In this solution, I will use without mentioning the fact that the expected value of a geometric distribution is $$$\frac{1}{p}$$$ and linearity of expectation. Firstly, let's split the tree using the red nodes as breakpoints. We will consider all black only connected components and the adjacent nodes of these components. We",90
chunk::problem_codeforces_2219_C::216,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,"as breakpoints. We will consider all black only connected components and the adjacent nodes of these components. We now have independent trees where the red nodes are always leaves. Consider the following subtree $$$dp$$$ (rooting the trees in black nodes): $$$dp_{i, 0}$$$ = minimum expected number of operations to color the subtree of node $$$i$$$ if node $$$i$$$ is colored before its parent. $$$dp_{i, 1}$$$ = minimum expected number of operations to color the subtree of node $$$i$$$ if node $$$i$$$ is colored after its parent. $$$dp_{i, 0} = 0$$$",90
chunk::problem_codeforces_2219_C::288,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,"color the subtree of node $$$i$$$ if node $$$i$$$ is colored after its parent. $$$dp_{i, 0} = 0$$$ if $$$i$$$ is a red leaf. $$$dp_{i, 1} = \inf$$$ if $$$i$$$ is a red leaf. $$$dp_{i, 0} = \inf$$$ if $$$i$$$ is a black leaf. $$$dp_{i, 1} = 1$$$ if $$$i$$$ is a black leaf (it only has one neighbor, its parent, and thus only needs one operation). the answer is $$$dp_{root, 0}$$$. The transitions are: sort all children of $$$i$$$ by $$$dp_{child_{j}, 1} - dp_{child_{j}, 0}$$$ (notice that we need",90
chunk::problem_codeforces_2219_C::360,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,"The transitions are: sort all children of $$$i$$$ by $$$dp_{child_{j}, 1} - dp_{child_{j}, 0}$$$ (notice that we need doubles!). for $$$dp_{i, 0}$$$, consider all no empty prefixes of the sorted childs, consider $$$dp_{child_{j}, 0}$$$ as the cost of coloring the subtree of $$$child_j$$$ if it is in the prefix and $$$dp_{child_{j}, 1}$$$ if it is not, coloring the node $$$i$$$ costs $$$\frac{\#children + 1}{size Of Prefix}$$$ + cost of coloring the subtrees of the children nodes. For $$$dp_{i, 1}$$$ is similar, but you can now consider the empty prefix and",90
chunk::problem_codeforces_2219_C::432,problem::codeforces_2219_C,codeforces_2219_C,PROBLEM,PROBLEM,"of the children nodes. For $$$dp_{i, 1}$$$ is similar, but you can now consider the empty prefix and the cost of coloring the node $$$i$$$ is $$$\frac{\#children + 1}{size Of Prefix + 1}$$$ + cost of coloring the subtrees of the children nodes.",43
chunk::problem_codeforces_2219_D::0,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"MEX Replacement on Tree D. MEX Replacement on Tree time limit per test 3.5 seconds memory limit per test 256 megabytes input standard input output standard output You are given a tree rooted at $$$1$$$ with $$$n$$$ vertices and a permutation $$$p$$$ of length $$$n$$$ consisting of integers $$$0, 1, \ldots, n - 1$$$, where $$$p_v$$$ represents the weight of vertex $$$v$$$. Let $$$S_v$$$ denote the set of weights written on the vertices belonging to the path from $$$1$$$ to $$$v$$$. Define a function $$$f$$$ as $$$f(v) = \mathrm{MEX}(S_v)$$$, that",90
chunk::problem_codeforces_2219_D::72,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"vertices belonging to the path from $$$1$$$ to $$$v$$$. Define a function $$$f$$$ as $$$f(v) = \mathrm{MEX}(S_v)$$$, that is, the $$$\mathrm{MEX}$$$ over the set consisting of the weights of vertices on the simple path between the root and $$$v$$$ (inclusive), where $$$\operatorname{MEX}$$$ of a collection of integers $$$c_1, c_2, \ldots, c_k$$$ is defined as the smallest non-negative integer $$$x$$$ which does not occur in the collection $$$c$$$. Also, given the following operation: Choose an integer $$$v$$$ ($$$1 \leq v \leq n$$$) and assign $$$f(v)$$$ to $$$p_v$$$. Your goal is to",90
chunk::problem_codeforces_2219_D::144,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"Choose an integer $$$v$$$ ($$$1 \leq v \leq n$$$) and assign $$$f(v)$$$ to $$$p_v$$$. Your goal is to find the maximum value of $$$\sum\limits_{v = 1}^n f(v)$$$ after performing the above operation no more than once (possibly zero). Hint1: Having a good visual image of the problem in mind may help. That is, for each vertex, thinking there is an array of infinite slot, and some of them are occupied by token, and the operation correspond to moving certain token to the first hole. Hint2: Draw some small cases! What",90
chunk::problem_codeforces_2219_D::216,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"and the operation correspond to moving certain token to the first hole. Hint2: Draw some small cases! What would these infinite arrays change when doing operation on root? Hint3: Doing operation on vertex with $$$p_v \lt f(v)$$$ is useless. Consider the rest situations. Hint4: when doing operation on $$$v$$$, how would $$$f(x)$$$ change if $$$x$$$ is in subtree of $$$v$$$? Hint5: There are two cases, $$$f(x) = f(v)$$$ and $$$f(x) \gt f(v)$$$. Hint6: Solve https://judge.yosupo.jp/problem/vertex_add_subtree_sum Solution: Root out the simple case: It's obvious that applying the operation on $$$v$$$ where",90
chunk::problem_codeforces_2219_D::288,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"Hint6: Solve https://judge.yosupo.jp/problem/vertex_add_subtree_sum Solution: Root out the simple case: It's obvious that applying the operation on $$$v$$$ where $$$p_v \lt f(v)$$$ is useless, since it would decrease $$$f(x)$$$ for every $$$x$$$ in $$$v$$$'s subtree. So from now on, we assume $$$p_v \gt f(v)$$$. Rephrase of operation (kind of) : To understand how the $$$f(x)$$$ would change, I would like to introduce an intuitive way to think about the $$$\mathrm{MEX}$$$ function first. Given a set of integers, imagine there is an array with infinite empty slots, indexed from $$$0$$$. Then for",90
chunk::problem_codeforces_2219_D::360,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"a set of integers, imagine there is an array with infinite empty slots, indexed from $$$0$$$. Then for each element $$$\mathrm{val}$$$ in the set, we fill the $$$\mathrm{val}$$$-th slot with a token, and then we can think of the $$$\mathrm{MEX}$$$ function as finding the first hole starting from the $$$0$$$-th slot. Then you can imagine there is an array $$$a_x$$$ with infinite slots for each vertex $$$x$$$ containing all elements on the path from $$$1$$$ to $$$x$$$, and think of the operation as picking up the token at the $$$p_v$$$-th",90
chunk::problem_codeforces_2219_D::432,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"path from $$$1$$$ to $$$x$$$, and think of the operation as picking up the token at the $$$p_v$$$-th slot and moving it to the first hole of $$$a_v$$$(that is, $$$f(v)$$$) for each array $$$a_x$$$ where $$$x$$$ is in $$$v$$$'s subtree. Further analysis: After doing such a rephrase and playing with it a bit on paper, you would probably notice there are a few cases: for $$$a_x$$$ with its $$$f(v)$$$-th slot being empty, moving a token from $$$p_v$$$ to $$$f(v)$$$ would fill the first hole and create a hole at $$$f(v)$$$,",90
chunk::problem_codeforces_2219_D::504,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"moving a token from $$$p_v$$$ to $$$f(v)$$$ would fill the first hole and create a hole at $$$f(v)$$$, so the new first hole would be the second hole of the original $$$a_x$$$ if it is less than $$$p_v$$$ or $$$p_v$$$ otherwise. for $$$a_x$$$ with its $$$f(v)$$$-th slot having a token in it, moving a token from $$$p_v$$$ to $$$f(v)$$$ would make the $$$f(v)$$$-th slot have $$$2$$$ tokens and create a hole at $$$f(v)$$$, so the new first hole would remain unchanged if $$$f(x) \lt p_v$$$ or $$$p_v$$$ otherwise. So in",90
chunk::problem_codeforces_2219_D::576,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"$$$f(v)$$$, so the new first hole would remain unchanged if $$$f(x) \lt p_v$$$ or $$$p_v$$$ otherwise. So in conclusion, for the first case $$$f(x)$$$ would become $$$\mathrm{min}(g(x), p_v)$$$ after doing operation on $$$v$$$, where $$$g(x)$$$ is almost the same as $$$f(x)$$$ but it finds second $$$\mathrm{MEX}$$$. And for the second case $$$f(x)$$$ would become $$$\mathrm{min}(f(x), p_v)$$$ after doing operation on $$$v$$$. Then we can consider processing $$$v$$$ in decreasing order of $$$p_v$$$, and maintain the sum of $$$g(x)$$$ for $$$g(x) \lt p_v$$$ the number of vertices with $$$g(x) \ge p_v$$$",90
chunk::problem_codeforces_2219_D::648,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"and maintain the sum of $$$g(x)$$$ for $$$g(x) \lt p_v$$$ the number of vertices with $$$g(x) \ge p_v$$$ the sum of $$$f(x)$$$ for $$$f(x) \lt p_v$$$ the number of vertices with $$$f(x) \ge p_v$$$ under every subtree in $$$O(n\lg n)$$$. Which is a standard [Vertex Add Subtree Sum Problem](https://judge.yosupo.jp/problem/vertex_add_subtree_sum) and can be solved by fenwick tree + euler tour trick. For the query part, case $$$1$$$ is just querying for data $$$1, 2$$$ for $$$v$$$'s subtree; case $$$2$$$ would happen if and only if there exists some vertex $$$x$$$ with",90
chunk::problem_codeforces_2219_D::720,problem::codeforces_2219_D,codeforces_2219_D,PROBLEM,PROBLEM,"2$$$ for $$$v$$$'s subtree; case $$$2$$$ would happen if and only if there exists some vertex $$$x$$$ with $$$p_x = f(v)$$$ under $$$v$$$'s subtree, then we just change the contribution of $$$x$$$'s subtree from data $$$1, 2$$$ to data $$$3, 4$$$. And we can check whether $$$v$$$ is $$$x$$$'s ancestor using the time stamp of two vertices.",57
chunk::problem_codeforces_2219_E::0,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"Weird Chessboard E. Weird Chessboard time limit per test 5 seconds memory limit per test 256 megabytes input standard input output standard output Consider a chessboard (a grid) of size $$$n \times n$$$. You want to place as many chess pieces on this board as possible. These pieces behave in the following way: if we denote the top-left cell by $$$(1,1)$$$, then a piece placed in cell $$$(i,j)$$$ can attack every cell $$$(x,y)$$$ such that $$$x \ge i$$$ and $$$y \ge j$$$, except for $$$(i,j)$$$ itself. For example, on a",90
chunk::problem_codeforces_2219_E::72,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"$$$(x,y)$$$ such that $$$x \ge i$$$ and $$$y \ge j$$$, except for $$$(i,j)$$$ itself. For example, on a $$$10 \times 10$$$ board, a piece placed at $$$(3,4)$$$ can attack the cells highlighted below: Given a chessboard with some pieces placed on it, we say that a cell is good if the number of pieces that attack that cell is even. Construct a configuration of pieces such that every cell is good, regardless of whether the cell itself contains a piece or not, and the board contains at least $$$\lfloor \frac{n^2}{10}",90
chunk::problem_codeforces_2219_E::144,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"of whether the cell itself contains a piece or not, and the board contains at least $$$\lfloor \frac{n^2}{10} \rfloor \cdot 3$$$ pieces. Hint1: Can you rewrite the condition on the board to something simpler? Hint2: Label the board $$$v_{i,j}$$$ where $$$v_{0,0}$$$ is the top left cell. We work mod $$$2$$$. A board $$$v_{i,j}$$$ is valid if and only if $$$v_{i,j}+v_{i+1,j}+v_{i,j+1}=0$$$ and all entries above the secondary diagonal are zero. Hint3: Warm up: try to get a construction of density $$$1/4$$$. Hint4: The next few hints get quite spoilery. If you",90
chunk::problem_codeforces_2219_E::216,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"try to get a construction of density $$$1/4$$$. Hint4: The next few hints get quite spoilery. If you don't want to see them yet but are stuck, consider coding some kind of heuristic (say, simulated annealing or A*) and running it on small values of $$$n$$$ to see what the result looks like. Hint5: Prove that the density is at most $$$1/3$$$. Hint6: Consider the grid $$$w_{i,j}$$$ with $$$w_{i,j}=1$$$ when $$$i+j\ge n-1$$$ and $$$i\not\equiv j\pmod 3$$$, and $$$w_{i,j}=0$$$ otherwise. Hint7: This grid is almost valid: $$$v_{i,j}+v_{i+1,j}+v_{i,j+1}=1$$$ only for very few",90
chunk::problem_codeforces_2219_E::288,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"and $$$i\not\equiv j\pmod 3$$$, and $$$w_{i,j}=0$$$ otherwise. Hint7: This grid is almost valid: $$$v_{i,j}+v_{i+1,j}+v_{i,j+1}=1$$$ only for very few concrete positions $$$(i,j)$$$. Try to fix the issues at those positions in a way that does not disturb much of the grid. Hint8: For each position $$$(i_0, j_0)$$$ on the diagonal where $$$w_{i_0,j_0} = 0$$$, we want to add a pattern to the grid that fixes the issues there. Hint9: For each such $$$(i_0,j_0)$$$, flip $$$w_{i_0,j_0}$$$ and add a Pascal triangle mod $$$2$$$ to the grid. Hint10: To implement this in $$$O(n^2)$$$,",90
chunk::problem_codeforces_2219_E::360,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"flip $$$w_{i_0,j_0}$$$ and add a Pascal triangle mod $$$2$$$ to the grid. Hint10: To implement this in $$$O(n^2)$$$, instead of adding each pascal independently, try to compute the sum of all of the pascals directly. Solution: We label the grid $$$v_{i, j}$$$ with $$$v_{0, 0}$$$ being the top left corner. From now on, we work modulo $$$2$$$ when operating with $$$v$$$. Claim. A filling of the grid is valid if and only if $$$v_{i, j}=0$$$ whenever $$$i+j \lt n-1$$$, and $$$v_{i, j}+v_{i+1, j}+v_{i, j+1}=0$$$ for all $$$0\le i,j \lt n-1$$$.",90
chunk::problem_codeforces_2219_E::432,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"if $$$v_{i, j}=0$$$ whenever $$$i+j \lt n-1$$$, and $$$v_{i, j}+v_{i+1, j}+v_{i, j+1}=0$$$ for all $$$0\le i,j \lt n-1$$$. We are going to restrict ourselves to fillings where $$$v_{i, n-i-1} = 1$$$ for all $$$i$$$. It is easy to see that any optimal filling must be of this kind. We will define a preliminary filling $$$w_{i,j}$$$ as 1 if $$$i+j\ge n-1$$$ and $$$i\not\equiv j \pmod 3$$$, 0 otherwise. The idea is that $$$w$$$ has density $$$1/3$$$, and only fails to be valid at a few points, namely near the diagonal. We",90
chunk::problem_codeforces_2219_E::504,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"has density $$$1/3$$$, and only fails to be valid at a few points, namely near the diagonal. We will fix $$$w$$$ in a way that leaves a chunk of the grid unchanged. We introduce what we do with a motivating example in the $$$n=16$$$ case. The first figure is the original $$$w$$$. We look at position $$$(9,6)$$$. There are three issues around this position: $$$$$$ w_{9, 6} = 0, $$$$$$ $$$$$$ w_{9, 6} + w_{9, 5} + w_{10, 5} = 1, $$$$$$ $$$$$$ w_{9, 6} + w_{8, 6} + w_{8,",90
chunk::problem_codeforces_2219_E::576,problem::codeforces_2219_E,codeforces_2219_E,PROBLEM,PROBLEM,"6} + w_{9, 5} + w_{10, 5} = 1, $$$$$$ $$$$$$ w_{9, 6} + w_{8, 6} + w_{8, 7} = 1. $$$$$$ To fix these issues, we add the pattern in the second figure to $$$w$$$. This pattern comes from the well-known Pascal triangle, considered mod $$$2$$$, plus flipping position $$$w_{9, 6}$$$. Formally, the pattern in the second figure is given by $$$u_{9,6} = 1$$$ and $$$$$$ u_{9+i+1, 6+j} \equiv \binom{i}{j} \pmod{2}\ \forall i,j\ge 0. $$$$$$ The rightmost figure is $$$u+w$$$, where the three issues around $$$w_{9, 6}$$$ are now",90
